Group,Transformation,Formula,mf
Amino Acid,Guanosine_5_monophosphate_(-H2O),C10H12N5O7P,345.0474364
Amino Acid,Deoxythymidine_5_diphosphate_(-H2O),C10H14N2O10P2,384.0123717
Amino Acid,Cytidine_5_diphosphate_(-H2O),C9H13N3O10P2,385.0076207
Amino Acid,Uridine_5_diphosphate_(-H2O),C9H12N2O11P2,385.9916363
Amino Acid,Adenosine_5_diphosphate_(-H2O),C10H13N5O9P2,409.0188541
Amino Acid,Guanosine_5_diphosphate_(-H2O),C10H13N5O10P2,425.0137687
Amino Acid,Adenosine-5_-phosphosulfate,C10H14N5O10PS,427.019905
Other,Indolylmethyl_glucosinolate,C16H20N2O9S2,448.061027
Sugar,Trisaccharide_(-H2O),C18H30O15,486.1584707
Other,Co-enzyme_A_(-H2O),C21H33N7O15P3S,748.0968259
Other,Co-enzyme_A_(-H),C21H34N7O16P3S,765.0995656
